"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",9.6
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",324
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",109
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33.5
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",27
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",8.3
"Odyssey Community School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",325
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",106
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",32.3
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",0
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",26
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",7.9
"Odyssey Community School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",328
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",86
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",26.2
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",17
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",5.2
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",25
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",7.6
"Odyssey Community School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",328
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",79
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.1
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",17
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",5.2
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",23
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",7
"Odyssey Community School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",328
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",72
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.9
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",24
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",7.3
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",22
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",6.7
"Odyssey Community School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",329
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",234
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.9
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","English Language Learner","Number",37
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.4
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","Special Education","Number",205
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","Special Education","Percent",13
"Old Saybrook School District",900757320,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1571
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",259
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.2
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","English Language Learner","Number",21
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.4
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","Special Education","Number",228
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","Special Education","Percent",15.1
"Old Saybrook School District",900757320,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1505
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",261
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","English Language Learner","Number",14
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","Special Education","Number",222
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","Special Education","Percent",15.4
"Old Saybrook School District",900757320,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1446
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",249
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.5
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","English Language Learner","Number",25
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",1.8
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","Special Education","Number",205
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","Special Education","Percent",14.4
"Old Saybrook School District",900757320,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1425
"Old Saybrook School District",900757320,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",250
