"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1943,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","English Language Learner","Number",150,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.5,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","Special Education","Number",662,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","Special Education","Percent",15.3,5,"Western"
"Naugatuck School District",900949950,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",4316,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2068,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.7,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","English Language Learner","Number",170,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",4,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","Special Education","Number",687,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","Special Education","Percent",16.2,5,"Western"
"Naugatuck School District",900949950,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",4246,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2126,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",49.7,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","English Language Learner","Number",209,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",4.9,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","Special Education","Number",687,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","Special Education","Percent",16,5,"Western"
"Naugatuck School District",900949950,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",4281,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2069,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.8,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","English Language Learner","Number",248,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",5.8,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","Special Education","Number",684,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","Special Education","Percent",16.1,5,"Western"
"Naugatuck School District",900949950,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",4244,5,"Western"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",306,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",84.8,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",22,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",6.1,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",361,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",331,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",29,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.3,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",399,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",334,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.1,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",31,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",7.7,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",402,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",281,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",59.4,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",42,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",8.9,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",473,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",397,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",79.6,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",41,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",8.2,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",499,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",464,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",93,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",0,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",37,1,"Southwest"
"New Beginnings Inc. Family Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",7.4,1,"Southwest"
